close,ema,high,low,open,position,day,dateni,time_slot,hi_lo_diff
19416.5,19381.86864201373,19416.65,19409.95,19412.15,73,0,2023-11-06,25,6.700000000000728
19415.9,19385.10972372672,19418.15,19412.95,19416.85,74,0,2023-11-06,15,5.200000000000728
19416.7,19388.118321467027,19416.7,19409.4,19415.7,75,0,2023-11-06,15,7.299999999999272
19404.05,19392.8585754176,19404.05,19404.05,19404.05,1,1,2023-11-07,25,0.0
19364.7,19390.176806330208,19407.15,19349.45,19404.05,2,1,2023-11-07,25,57.70000000000073
19382.1,19389.40758667972,19382.45,19364.4,19365.65,3,1,2023-11-07,25,18.049999999999272
19370.25,19387.583054614977,19384.1,19368.1,19382.4,4,1,2023-11-07,25,16.0
19367.05,19385.627525604028,19374.95,19364.9,19370.7,5,1,2023-11-07,25,10.049999999999272
19360.6,19383.24395173697,19370.9,19358.35,19367.0,6,1,2023-11-07,25,12.55000000000291
19366.5,19381.649289666788,19368.4,19358.6,19360.35,7,1,2023-11-07,25,9.80000000000291
19363.6,19379.930309698524,19370.0,19355.35,19367.25,8,1,2023-11-07,25,14.650000000001455
19363.85,19378.398851632,19364.35,19357.6,19362.75,9,1,2023-11-07,25,6.75
19358.05,19376.46086576228,19374.65,19353.5,19363.7,10,1,2023-11-07,25,21.150000000001455
19350.75,19374.01221188016,19363.35,19350.05,19358.2,11,1,2023-11-07,25,13.299999999999272
19357.6,19372.44914408205,19358.25,19347.8,19350.8,12,1,2023-11-07,25,10.450000000000728
19366.2,19371.853987502807,19366.3,19355.6,19356.35,13,1,2023-11-07,25,10.700000000000728
19369.55,19371.634560121587,19369.55,19361.65,19366.65,14,1,2023-11-07,25,7.899999999997817
19365.9,19371.08841153857,19378.4,19363.55,19368.75,15,1,2023-11-07,25,14.850000000002183
19370.65,19371.04665805872,19374.2,19363.7,19366.45,16,1,2023-11-07,25,10.5
19375.5,19371.47078586265,19378.65,19369.7,19371.45,17,1,2023-11-07,25,8.950000000000728
19385.3,19372.78785387573,19386.7,19373.9,19375.75,18,1,2023-11-07,25,12.799999999999272
19393.05,19374.71758207804,19393.05,19384.05,19385.2,19,1,2023-11-07,25,9.0
19391.4,19376.306383784893,19396.4,19386.55,19392.65,20,1,2023-11-07,25,9.850000000002183
19385.0,19377.13434723395,19392.25,19381.45,19391.6,21,1,2023-11-07,25,10.799999999999272
19381.05,19377.507266545,19386.25,19379.9,19384.8,22,1,2023-11-07,25,6.349999999998545
19386.8,19378.39228877881,19388.25,19380.1,19380.1,23,1,2023-11-07,25,8.150000000001455
19393.95,19379.87397556178,19394.5,19384.95,19386.75,24,1,2023-11-07,25,9.549999999999272
19392.85,19381.10978741304,19396.95,19389.65,19394.75,25,1,2023-11-07,25,7.299999999999272
19396.5,19382.57552194513,19398.0,19388.95,19392.85,26,1,2023-11-07,10,9.049999999999272
19390.65,19383.34451985512,19397.4,19388.5,19396.4,27,1,2023-11-07,10,8.900000000001455
19389.85,19383.964089392728,19392.15,19387.0,19390.5,28,1,2023-11-07,10,5.150000000001455
19388.05,19384.35322373628,19391.85,19385.3,19390.25,29,1,2023-11-07,10,6.549999999999272
19390.15,19384.90529766616,19396.3,19387.1,19388.5,30,1,2023-11-07,10,9.200000000000728
