date,horizontal_index,close_s,open_s,high_s,low_s,ema_s,ema_sma_50,day_high,day_low
2025-03-06,44,25125,25105,25140,25100,25065,22360,25180,24900
2025-03-06,45,25105,25120,25125,25100,25065,22360,25180,24900
2025-03-06,46,25115,25100,25115,25095,25070,22360,25180,24900
2025-03-06,47,25125,25110,25125,25105,25070,22365,25180,24900
2025-03-06,48,25110,25125,25125,25110,25075,22365,25180,24900
2025-03-06,49,25115,25110,25120,25100,25075,22370,25180,24900
2025-03-06,50,25120,25115,25125,25090,25080,22370,25180,24900
2025-03-06,51,25105,25120,25120,25105,25080,22370,25180,24900
2025-03-06,52,25120,25105,25120,25095,25080,22375,25180,24900
2025-03-06,53,25120,25120,25130,25110,25085,22375,25180,24900
